symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
unm,1.67,-49.72%,5.66%,33.35,9.58,16.69,19.96,3.65M,2.54M,203.42M,202.36M,0.63%,102.98%,8.26M,2.03,4.66%,4.06%,7.21M,1.14,7.36%,1.14,7.36%,2.73,23.62%,"May 14, 2020","Apr 23, 2020",2:1,"Jun 02, 1997","Dec 30, 2019","Mar 30, 2020",8.25%,12.11%,1.39%,10.40%,11.88B,57.41,-3.90%,3.43B,1.55B,980.4M,4.73,-42.70%,1.72B,8.46,3.31B,33.81,7.16,48.21,1.44B,771.88M
mhk,1.55,-52.89%,5.66%,156.60,56.62,97.57,103.36,1.08M,3.48M,71.18M,58.46M,20.03%,87.82%,4.35M,5.46,9.14%,6.11%,3.85M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,3:2,"Dec 04, 1997","Dec 30, 2019","Mar 27, 2020",7.47%,9.12%,4.17%,9.51%,9.81B,136.71,-6.40%,2.77B,1.48B,733.14M,49.90,-9.10%,263.09M,3.7,3.07B,39.12,1.61,110.15,1.44B,944.42M
sbac,0.41,29.39%,5.66%,323.02,205.20,300.96,279.72,815.1k,544k,111.62M,110.32M,1.24%,96.32%,1.48M,2,1.84%,1.32%,1.42M,1.86,0.61%,1.67,0.54%,N/A,N/A,"Jun 17, 2020","May 26, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",-0.30%,31.08%,4.24%,N/A,2.04B,18.10,4.80%,1.51B,1.34B,-6.06M,-0.06,N/A,184.14M,1.65,13.22B,N/A,0.39,-38.70,1.03B,741.22M
amgn,0.95,41.40%,5.66%,264.97,173.12,232.98,225.41,2.85M,2.37M,588.25M,586.92M,0.22%,78.93%,5.89M,1.93,1.00%,1.00%,7.01M,6.4,2.54%,5.95,2.36%,2.53,46.59%,"Jun 07, 2020","May 14, 2020",2:1,"Nov 21, 1999","Dec 30, 2019","Mar 30, 2020",32.03%,40.07%,9.55%,75.55%,23.97B,40.14,10.90%,19.01B,12.04B,7.67B,12.77,-8.40%,8.01B,13.62,31.85B,335.77,1.59,16.13,9.44B,6.45B
wmt,0.30,13.65%,5.66%,133.38,102.00,121.60,119.66,9.5M,15.11M,2.83B,1.39B,50.91%,30.95%,14.04M,1.4,1.01%,0.50%,15.32M,2.16,1.69%,2.13,1.67%,2.41,50.76%,"Jan 03, 2021","Aug 12, 2020",2:1,"Apr 19, 1999","Jan 30, 2020","Apr 29, 2020",2.81%,4.24%,6.06%,20.63%,534.66B,188.23,8.60%,129.36B,34.19B,15.03B,5.26,3.90%,14.93B,5.27,76.59B,103.34,0.77,24.10,28.71B,17.76B
dri,1.33,-42.52%,5.66%,128.41,26.15,76.56,84.19,3.43M,2.54M,129.82M,124.06M,0.30%,83.13%,5.85M,1.84,5.70%,4.50%,7.11M,N/A,N/A,2.64,3.70%,2.99,N/A,"Feb 02, 2020","Jan 08, 2020",10000:8939,"Nov 09, 2015","May 30, 2020","May 30, 2020",-0.67%,5.61%,3.46%,-2.08%,7.81B,63.63,-43.00%,1.41B,794M,-49.2M,-0.43,N/A,763.3M,6.13,5.48B,234.86,0.61,18.72,711.3M,305.6M
pg,0.40,7.28%,5.66%,128.09,94.34,118.24,118.70,8.54M,6.27M,2.47B,2.47B,0.11%,65.03%,16.62M,2.22,0.68%,0.67%,18.71M,3.16,2.58%,2.98,2.44%,3.05,162.15%,"May 14, 2020","Apr 22, 2020",2:1,"Jun 20, 2004","Jun 29, 2019","Mar 30, 2020",7.09%,22.80%,8.35%,10.01%,70.35B,28.20,4.60%,33.44B,19.06B,4.73B,1.86,6.30%,15.39B,6.22,36.9B,80.32,0.82,18.03,16.75B,11.33B
aep,0.37,-7.72%,5.66%,104.97,65.14,82.64,87.93,2.85M,2.28M,494.83M,495.04M,0.01%,76.46%,7.21M,2.51,1.46%,1.46%,8.31M,2.8,3.41%,2.74,3.34%,3.34,73.66%,"Jun 09, 2020","May 06, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",12.09%,18.57%,2.38%,9.37%,15.25B,30.87,-7.60%,6.5B,5.19B,1.84B,3.72,-13.50%,1.74B,3.51,33.33B,166.04,0.45,39.84,4.08B,-2.18B
xrx,1.60,-55.76%,5.66%,39.47,14.22,16.58,24.36,3.88M,4.64M,212.94M,179.97M,4.39%,89.19%,6.24M,1.32,3.95%,2.93%,6.66M,1,6.84%,1.00,6.84%,3.35,41.49%,"Jul 30, 2020","Jun 28, 2020",1:4,"Jun 14, 2017","Dec 30, 2019","Mar 30, 2020",13.93%,11.35%,4.20%,10.36%,8.75B,40.12,-14.70%,3.65B,1.35B,548M,5.34,N/A,2.62B,12.31,4.64B,82.58,1.77,25.34,1.28B,1.13B
efx,1.21,18.88%,5.66%,180.07,103.01,167.80,147.72,981.77k,1.03M,121.39M,120.95M,0.42%,99.07%,2.44M,2.17,2.27%,2.01%,2.81M,1.56,0.96%,1.56,0.96%,1.17,70.27%,"Jun 11, 2020","May 20, 2020",2:1,"Dec 17, 1995","Dec 30, 2019","Mar 30, 2020",7.45%,14.71%,4.45%,10.95%,3.62B,29.90,13.20%,1.99B,885M,269.7M,2.22,N/A,369.9M,3.05,3.51B,144.38,1.00,19.66,313.6M,-48.74M
