symbol,beta,52wk-change,52wk-change-sp500,52wk-high,52wk-low,50day-moving-avg,200day-moving-avg,avg-vol-3month,avg-vol-10day,shares-outstanding,float,insider-pct,institutional-pct,shares-short,short-ratio,short-pct-float,short-pct-shares-outstanding,shares-short,forward-annual-div,forward-div,trailing-div,trailing-annual-div,5yr-avg-div-yield,payout-ratio,div-date,xdiv-date,last-split-factor,last-split-date,fiscal-year-ends,most-recent-qtr,profit-margin,operating-margin,return-on-assets,return-on-equity,revenue,revenue-per-share,quarterly-revenue,gross-profit,ebitda,netincome-avail-to-common,diluted-eps,qtr-earnings-growth,total-cash,total-cash-per-share,total-debt,total-debit-to-equity,current-ratio,book-value,operating-cash-flow,levered-free-cash-flow
tfc,1.46,-29.56%,5.66%,56.92,24.01,38.73,41.73,6.78M,4.95M,1.35B,1.34B,0.44%,72.18%,14.95M,1.96,1.11%,1.11%,17.77M,1.8,5.36%,N/A,N/A,2.93,50.58%,"May 31, 2020","May 13, 2020",2:1,"Aug 03, 1998","Dec 30, 2019","Mar 30, 2020",25.07%,36.67%,0.95%,7.23%,13.93B,14.66,72.00%,11.95B,N/A,3.26B,N/A,33.80%,46.05B,34.17,81.2B,N/A,N/A,N/A,6.89B,N/A
pm,0.78,-10.45%,5.66%,90.17,56.01,72.63,77.49,5.33M,5.41M,1.56B,1.55B,0.22%,75.22%,7.98M,1.54,0.51%,0.51%,9.03M,4.68,6.67%,4.65,6.63%,4.84,94.70%,"Jul 09, 2020","Jun 18, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",25.35%,38.34%,19.17%,N/A,30.21B,19.42,6.00%,19.29B,12.55B,7.64B,4.91,34.90%,3.75B,2.41,28.37B,N/A,1.02,-8.31,9.96B,8.79B
atvi,0.61,70.52%,5.66%,81.53,44.81,74.47,65.19,8.01M,5.7M,770.48M,761.85M,1.37%,92.22%,9.36M,1.19,1.23%,1.21%,12.9M,0.41,0.51%,0.41,0.51%,0.62,0.00%,"May 05, 2020","Apr 13, 2020",2:1,"Sep 07, 2008","Dec 30, 2019","Mar 30, 2020",24.19%,27.15%,5.83%,12.68%,6.45B,8.40,-2.00%,4.4B,2.06B,1.56B,2.02,13.00%,5.98B,7.76,2.68B,20.54,2.78,16.90,1.53B,1.96B
c,1.82,-26.58%,5.66%,83.11,32.00,52.27,57.54,30.67M,22.87M,2.08B,2.08B,0.25%,81.98%,29.35M,0.86,1.41%,1.41%,31.42M,2.04,4.13%,1.98,4.00%,1.63,27.39%,"May 21, 2020","Apr 30, 2020",1:10,"May 08, 2011","Dec 30, 2019","Mar 30, 2020",27.02%,32.96%,0.83%,8.85%,63.72B,29.11,-14.10%,66.07B,N/A,16.01B,7.26,-46.50%,899.76B,432.2,624.39B,N/A,N/A,83.75,-754M,N/A
lnc,2.26,-47.63%,5.66%,67.17,16.11,39.14,41.45,2.32M,2.32M,193.22M,181.78M,0.70%,85.96%,8.26M,3.79,4.88%,4.27%,9.67M,1.6,4.89%,1.54,4.71%,2.13,45.62%,"Jul 31, 2020","Jul 08, 2020",2:1,"Jun 21, 1999","Dec 30, 2019","Mar 30, 2020",3.87%,6.78%,0.24%,4.16%,17.72B,89.35,11.60%,4.59B,1.27B,686M,3.32,-79.40%,10.22B,52.9,8.08B,48.74,4.65,85.79,-900M,-4.07B
pnr,1.31,1.05%,5.66%,47.43,22.01,38.43,37.90,1.3M,1.36M,165.72M,164.54M,0.25%,90.89%,1.51M,1.3,1.03%,0.91%,2.27M,0.76,1.98%,0.73,1.91%,2.21,32.44%,"Aug 06, 2020","Jul 22, 2020",1489:1000,"Apr 30, 2018","Dec 30, 2019","Mar 30, 2020",12.66%,15.67%,6.62%,20.30%,2.98B,17.68,3.10%,1.05B,545.6M,382M,2.23,41.70%,169.3M,1.02,1.53B,81.03,1.96,11.42,446.9M,294.86M
mar,1.60,-38.01%,5.66%,153.39,46.56,92.76,105.96,5.26M,3.65M,324.26M,275.95M,17.21%,64.41%,10.8M,1.75,4.09%,3.33%,14.03M,N/A,N/A,1.92,2.23%,1.35,68.57%,"Mar 30, 2020","Feb 26, 2020",1061:1000,"Nov 21, 2011","Dec 30, 2019","Mar 30, 2020",18.58%,35.05%,4.36%,117.37%,5B,15.19,-29.60%,4.06B,2.3B,929M,2.81,-91.70%,1.76B,5.43,13.22B,N/A,0.62,-0.06,2.05B,368.88M
fe,0.44,-5.91%,5.66%,52.52,32.00,40.68,43.83,3.72M,3.76M,541.75M,539.73M,0.26%,85.48%,6.21M,1.78,1.65%,1.15%,7.26M,1.56,3.88%,1.54,3.83%,4.08,144.34%,"May 31, 2020","May 05, 2020",1:3,"Apr 03, 2003","Dec 30, 2019","Mar 30, 2020",6.24%,12.33%,1.99%,8.34%,10.67B,19.84,-6.00%,7.69B,2.52B,574M,1.24,-76.90%,152M,0.28,21.95B,322.16,0.54,12.58,2.09B,-1.19B
has,0.95,-32.34%,5.66%,126.87,41.33,74.50,79.87,1.18M,760.75k,137.01M,127.8M,7.54%,88.62%,5.17M,4.76,5.44%,3.77%,4.49M,2.72,3.80%,2.72,3.80%,2.54,81.68%,"Aug 16, 2020","Jul 30, 2020",3:2,"Mar 15, 1999","Dec 28, 2019","Mar 28, 2020",8.33%,12.58%,5.21%,19.16%,5.09B,39.00,50.90%,2.41B,843.12M,424.09M,3.23,N/A,1.18B,8.59,5.43B,194.44,1.91,19.92,680.19M,596.68M
nclh,2.75,-67.43%,5.66%,59.78,7.03,17.99,27.67,62.09M,34.96M,256.35M,254.48M,0.81%,92.00%,44.69M,0.52,19.32%,17.43%,46.08M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",-16.95%,12.84%,3.14%,-20.80%,6.31B,29.46,-11.20%,2.8B,1.48B,-1.07B,-4.99,N/A,1.36B,5.31,8.84B,202.14,0.57,20.39,1.24B,-831.42M
usb,1.18,-31.40%,5.66%,61.11,28.36,37.70,42.07,9.37M,6.59M,1.52B,1.5B,0.09%,77.75%,16.21M,1.62,1.08%,1.08%,16.72M,1.68,4.91%,1.63,4.76%,2.56,42.12%,"Jul 14, 2020","Jun 28, 2020",1265:1000,"Feb 26, 2001","Dec 30, 2019","Mar 30, 2020",30.80%,39.63%,1.26%,12.24%,20.73B,13.29,-8.00%,21.14B,N/A,6.06B,3.88,-31.10%,51.1B,33.93,80.35B,N/A,N/A,30.24,5.95B,N/A
zbh,1.31,-2.03%,5.66%,161.11,74.37,124.88,127.05,1.59M,1.41M,206.8M,206.53M,0.17%,94.53%,2.51M,1.66,1.22%,1.22%,2.25M,0.96,0.82%,0.96,0.82%,0.80,53.04%,"Jul 30, 2020","Jun 25, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",4.84%,16.68%,3.26%,3.21%,7.79B,37.89,-9.70%,5.73B,2.31B,377M,1.82,N/A,2.45B,11.84,9.67B,81.41,1.69,57.44,1.75B,1.15B
hst,1.29,-40.21%,5.66%,18.90,7.86,11.95,13.31,13.9M,10.2M,704.96M,697.23M,1.18%,103.92%,40.38M,2.66,8.18%,5.73%,47.64M,N/A,N/A,0.80,7.61%,4.71,79.54%,"Apr 14, 2020","Mar 29, 2020",10215:10000,"Nov 03, 2009","Dec 30, 2019","Mar 30, 2020",14.21%,11.55%,2.85%,9.99%,5.14B,7.12,-24.30%,1.59B,1.25B,731M,1.01,N/A,2.8B,3.97,5.9B,82.53,12.77,10.02,1.2B,1.03B
aos,1.27,8.23%,5.66%,52.70,33.81,47.58,43.51,1.43M,928.12k,135.1M,132.13M,0.97%,104.52%,7.46M,4.48,6.33%,4.63%,9.11M,0.96,2.02%,0.92,1.93%,1.32,45.77%,"May 14, 2020","Apr 28, 2020",2:1,"Oct 05, 2016","Dec 30, 2019","Mar 30, 2020",11.54%,14.48%,8.51%,19.75%,2.88B,17.57,-14.90%,1.18B,495.5M,332.4M,2.01,-42.10%,551.7M,3.42,391.2M,24.20,2.06,10.03,488.7M,386.01M
cop,1.69,-34.56%,5.66%,67.13,20.84,43.30,45.92,8.36M,6.65M,1.07B,1.07B,0.04%,76.33%,11.82M,1.56,1.10%,1.10%,13.6M,1.68,4.38%,1.45,3.77%,2.98,45.31%,"May 31, 2020","Jul 16, 2020",1311791:1000000,"Apr 30, 2012","Dec 30, 2019","Mar 30, 2020",11.90%,19.35%,5.39%,11.50%,30.4B,27.55,-31.50%,16.18B,12.07B,3.62B,3.27,N/A,8.19B,7.64,14.97B,47.70,2.16,29.20,10.31B,2.46B
nbl,2.60,-58.57%,5.66%,27.31,2.73,9.84,12.65,11.13M,9.63M,479.7M,473.63M,1.29%,99.06%,16.72M,1.41,4.59%,3.49%,23.02M,0.08,0.93%,0.48,5.56%,1.82,N/A,"May 25, 2020","May 07, 2020",2:1,"May 28, 2013","Dec 30, 2019","Mar 30, 2020",-117.43%,-19.72%,-2.80%,-66.92%,4.4B,9.19,0.90%,2.82B,2.47B,-5.16B,-10.79,N/A,1.4B,2.91,8.94B,173.42,1.32,9.17,1.95B,53.25M
aph,1.27,-4.12%,5.66%,110.24,63.05,97.37,92.93,1.67M,1.26M,295.89M,294.23M,0.52%,99.24%,3.51M,2.03,1.60%,1.19%,3.3M,1,1.06%,0.98,1.04%,0.92,26.70%,"Jul 07, 2020","Jun 14, 2020",2:1,"Oct 09, 2014","Dec 30, 2019","Mar 30, 2020",13.90%,19.24%,8.77%,26.40%,8.13B,27.34,-4.90%,2.62B,1.86B,1.13B,3.67,-9.50%,2.38B,8.06,5.09B,114.55,2.54,14.82,1.54B,1.08B
hbi,1.55,-31.23%,5.66%,17.09,6.96,11.40,11.42,8.25M,7.06M,348.04M,344.41M,1.22%,112.02%,46.82M,4.97,15.52%,13.45%,56.92M,0.6,5.57%,0.60,5.57%,2.91,42.86%,"Jun 08, 2020","May 17, 2020",4:1,"Mar 03, 2015","Dec 27, 2019","Mar 27, 2020",7.64%,12.42%,6.58%,53.54%,6.7B,18.43,-17.10%,2.78B,961.95M,511.76M,1.41,N/A,1.08B,3.11,5.01B,573.74,2.21,2.51,914.51M,740.69M
tmus,0.30,34.98%,5.66%,111.58,63.50,103.85,90.74,7.73M,5.01M,1.24B,652.84M,44.09%,48.69%,14.95M,2.48,3.85%,1.21%,16.35M,N/A,N/A,N/A,N/A,N/A,0.00%,"Sep 14, 2016","Apr 30, 2013",1:2,"Apr 30, 2013","Dec 30, 2019","Mar 30, 2020",7.80%,14.55%,4.81%,12.73%,45.03B,52.61,0.30%,26.48B,13.29B,3.51B,4.06,4.70%,1.11B,0.9,44.32B,152.95,0.64,33.65,7.05B,1.17B
peak,0.67,-17.49%,5.66%,37.93,18.63,27.21,29.10,4.87M,3.89M,538.27M,536.78M,0.15%,96.75%,7.63M,1.34,1.93%,1.42%,10.68M,1.48,5.51%,N/A,N/A,5.66,296.00%,"May 18, 2020","May 06, 2020",1098:1000,"Oct 31, 2016","Dec 30, 2019","Mar 30, 2020",12.26%,10.74%,0.99%,3.91%,2.15B,4.35,34.20%,1.11B,943.42M,260.42M,N/A,354.00%,783.54M,1.46,6.55B,83.78,1.69,N/A,782.53M,1.08B
jnpr,0.97,-16.47%,5.66%,27.57,15.20,23.51,22.78,3.79M,2.72M,331.35M,327.37M,1.22%,96.01%,15.79M,4.96,6.61%,4.77%,14.11M,0.8,3.52%,0.77,3.39%,2.11,80.21%,"Jun 21, 2020","May 28, 2020",2:1,"Jun 15, 2000","Dec 30, 2019","Mar 30, 2020",7.53%,10.91%,3.41%,7.23%,4.44B,13.11,-0.40%,2.62B,708.4M,334.3M,0.97,-34.40%,1.93B,5.82,1.87B,42.51,1.93,13.27,641.7M,535.68M
pvh,2.06,-50.96%,5.66%,108.06,28.40,50.44,61.85,2M,1.46M,71.04M,70.42M,1.11%,108.12%,4.06M,1.65,7.55%,5.72%,4.17M,N/A,N/A,0.15,0.35%,N/A,1.34%,"Mar 30, 2020","Mar 18, 2020",2:1,"Oct 09, 1991","Feb 01, 2020","May 02, 2020",-8.56%,2.56%,1.11%,-14.87%,8.9B,121.46,-43.00%,5.4B,555.5M,-761.5M,-10.40,N/A,800.7M,11.27,5.11B,113.29,1.37,63.54,950.7M,540.01M
aiv,0.85,-27.97%,5.66%,55.68,24.53,38.64,42.61,1.29M,802.17k,148.86M,147.44M,0.84%,101.94%,2.79M,2.06,2.26%,1.87%,3.04M,1.64,4.46%,1.60,4.35%,3.23,120.61%,"May 28, 2020","May 13, 2020",1:1,"Feb 20, 2019","Dec 30, 2019","Mar 30, 2020",22.72%,16.70%,1.42%,11.41%,909.52M,6.11,-2.40%,603.88M,538.99M,201.26M,1.35,-97.50%,340.88M,2.29,4.8B,253.22,1.07,11.55,370.27M,109M
gis,0.58,19.63%,5.66%,64.31,46.59,61.61,56.77,4.04M,4.55M,609.8M,608.08M,0.18%,74.52%,17.83M,4.39,2.93%,2.92%,13.64M,1.96,3.13%,1.96,3.13%,3.54,55.06%,"Aug 02, 2020","Jul 08, 2020",2:1,"Jun 08, 2010","May 30, 2020","May 30, 2020",12.37%,17.69%,6.40%,26.30%,17.63B,28.99,20.70%,6.16B,3.71B,2.18B,3.56,9.70%,1.68B,2.75,13.92B,156.49,0.68,13.22,3.68B,2.73B
sjm,0.14,-8.61%,5.66%,125.62,91.88,107.91,109.23,1.11M,733.45k,114.11M,109.55M,4.36%,82.26%,7.56M,5.61,7.80%,6.63%,5.16M,3.52,3.40%,3.52,3.40%,2.63,51.02%,"May 31, 2020","May 13, 2020",0:1,"Jun 02, 2002","Apr 29, 2020","Apr 29, 2020",9.99%,16.56%,4.79%,9.65%,7.8B,68.43,10.00%,3B,1.74B,779.5M,6.84,216.50%,391.1M,3.43,5.78B,70.61,1.24,71.80,1.25B,1.07B
jpm,1.17,-15.48%,5.66%,141.10,76.91,98.83,108.24,24.48M,24.25M,3.05B,2.96B,0.88%,76.08%,23.5M,0.92,0.78%,0.77%,24.81M,3.6,3.94%,3.50,3.83%,2.50,39.55%,"Jul 30, 2020","Jul 01, 2020",3:2,"Jun 11, 2000","Dec 30, 2019","Mar 30, 2020",29.42%,36.09%,1.02%,11.56%,102.38B,32.29,-27.70%,110.04B,N/A,28.32B,8.90,-68.80%,1.14T,374.61,681.79B,N/A,N/A,75.89,-33.85B,N/A
avy,1.19,-2.13%,5.66%,141.09,76.96,115.12,116.53,553.46k,675.98k,83.34M,82.78M,0.68%,92.06%,882.72k,1.58,1.21%,1.06%,838.66k,2.32,2.10%,2.32,2.10%,1.96,33.57%,"Jun 16, 2020","Jun 01, 2020",2:1,"Dec 22, 1996","Dec 27, 2019","Mar 27, 2020",8.29%,11.80%,8.95%,54.01%,7.05B,84.21,-1.00%,1.9B,993.3M,584.7M,6.88,N/A,771.9M,9.26,2.82B,240.35,1.14,14.08,715.5M,466.12M
ba,1.47,-50.65%,5.66%,391.00,89.00,180.72,214.91,45.67M,40.15M,564.32M,532.8M,0.13%,66.60%,12.05M,0.23,2.14%,2.14%,17.57M,N/A,N/A,8.22,4.74%,2.54,N/A,"Mar 05, 2020","Feb 12, 2020",2:1,"Jun 08, 1997","Dec 30, 2019","Mar 30, 2020",-4.84%,-6.79%,-2.27%,N/A,70.55B,124.75,-26.20%,4.76B,-2.48B,-3.41B,-6.03,N/A,15.53B,27.51,38.93B,N/A,1.17,-17.13,-9.54B,-7.77B
cme,0.31,-20.11%,5.66%,225.36,131.80,175.25,188.24,2M,1.69M,358.58M,349.62M,1.56%,87.98%,5.73M,2.75,1.80%,1.60%,5.87M,3.4,2.05%,3.10,1.87%,1.83,46.55%,"Jun 24, 2020","Jun 08, 2020",5:1,"Jul 22, 2012","Dec 30, 2019","Mar 30, 2020",45.88%,57.40%,1.78%,9.04%,5.2B,14.55,29.10%,4.86B,3.46B,2.39B,6.66,54.20%,929.2M,2.59,4.17B,15.69,1.01,74.28,2.76B,1.9B
idxx,0.80,19.07%,5.66%,344.81,168.65,318.83,278.17,529.41k,340.12k,84.93M,83.9M,1.25%,90.70%,1.88M,3.21,2.53%,2.21%,2.13M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Jun 15, 2015","Dec 30, 2019","Mar 30, 2020",17.78%,23.50%,20.23%,546.43%,2.46B,28.60,8.70%,1.37B,667.29M,436.87M,5.01,8.90%,81.39M,0.96,1.27B,1170.80,0.85,1.27,452.65M,261.63M
alle,1.19,-8.35%,5.66%,139.24,77.37,102.92,109.13,716.77k,495.98k,92.22M,91.8M,0.35%,100.89%,4.35M,5.78,6.02%,4.72%,4.4M,1.28,1.27%,1.13,1.12%,0.80,33.00%,"Jun 29, 2020","Jun 14, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",11.20%,20.42%,13.19%,51.52%,2.87B,30.85,3.00%,1.25B,654.3M,322M,3.43,-99.50%,245.3M,2.66,1.48B,241.53,2.02,6.63,531.6M,394.59M
orly,1.07,4.35%,5.66%,454.31,251.52,419.60,391.04,644.86k,509.98k,74.23M,72.94M,1.65%,88.04%,1.12M,1.89,1.54%,1.51%,1.31M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,2:1,"Jun 15, 2005","Dec 30, 2019","Mar 30, 2020",13.41%,18.61%,11.23%,569.53%,10.22B,134.21,2.70%,5.39B,2.18B,1.37B,17.82,-6.50%,287.07M,3.87,6.45B,5926.07,0.91,1.47,1.73B,753.03M
adsk,1.60,40.60%,5.66%,251.39,125.38,230.93,192.65,1.65M,1.16M,219.2M,218.83M,0.15%,97.69%,3.71M,1.87,1.69%,1.69%,3.73M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,"Mar 21, 2005",2:1,"Dec 20, 2004","Jan 30, 2020","Apr 29, 2020",8.91%,13.73%,5.68%,N/A,3.42B,15.59,20.40%,2.98B,561.9M,305.2M,1.36,N/A,1.47B,6.69,2.08B,N/A,0.79,-0.63,1.52B,965.79M
dd,1.48,-27.38%,5.66%,74.37,28.33,52.67,48.36,5.86M,4.56M,733.8M,731.93M,0.26%,74.25%,19.48M,2.95,2.66%,2.65%,20.59M,1.2,2.30%,1.32,2.59%,3.17,N/A,"Sep 14, 2020","Jul 29, 2020",4725:10000,"Jun 02, 2019","Dec 30, 2019","Mar 30, 2020",-3.00%,14.36%,1.48%,-1.71%,21.32B,28.68,-3.60%,7.71B,4.38B,-1.21B,-0.86,N/A,1.75B,2.38,18.13B,45.19,1.22,53.90,2.1B,13.39B
aee,0.27,-2.29%,5.66%,87.66,58.74,72.66,75.76,1.8M,1.4M,246.89M,245.48M,0.43%,77.00%,13.25M,7.17,6.16%,5.37%,13.25M,1.98,2.69%,1.94,2.63%,3.03,61.39%,"Jun 29, 2020","Jun 08, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",14.15%,23.69%,2.89%,9.82%,5.54B,22.50,-7.50%,2.74B,2.33B,783M,3.16,-23.60%,42M,0.17,10.35B,125.81,0.62,32.75,2.07B,-689.25M
gild,0.71,12.12%,5.66%,85.97,60.89,75.46,72.84,16.11M,6.59M,1.25B,1.25B,0.41%,80.77%,25.22M,2.04,2.01%,2.01%,26.09M,2.72,3.64%,2.57,3.44%,2.71,65.90%,"Jun 28, 2020","Jun 10, 2020",2:1,"Jan 27, 2013","Dec 30, 2019","Mar 30, 2020",21.84%,23.12%,5.36%,22.29%,22.72B,17.94,5.10%,17.77B,6.65B,4.96B,3.90,-21.50%,21.02B,16.76,24.1B,108.65,3.04,17.60,9B,3.08B
l,0.75,-37.48%,5.66%,56.88,27.33,34.42,40.38,1.49M,920.48k,281.43M,239.53M,15.24%,68.28%,3.81M,2.48,1.60%,1.35%,3.97M,0.25,0.76%,0.25,0.76%,0.56,N/A,"Jun 08, 2020","May 25, 2020",3:1,"May 08, 2006","Dec 30, 2019","Mar 30, 2020",-0.66%,6.53%,0.73%,-2.77%,14.25B,47.98,-17.50%,6.64B,1.87B,-94M,-0.32,N/A,4.69B,16.65,12B,62.57,0.44,60.28,1.99B,1.1B
payx,0.94,-14.50%,5.66%,90.54,47.87,74.46,74.88,2.38M,2.47M,358.8M,320.17M,10.76%,70.51%,10.72M,4.55,3.35%,2.99%,12.51M,2.48,3.40%,2.48,3.40%,3.07,81.58%,"May 27, 2020","May 13, 2020",3:2,"May 22, 2000","May 30, 2019","Feb 28, 2020",26.98%,36.06%,9.33%,41.35%,4.11B,11.44,6.80%,2.59B,1.69B,1.11B,3.07,9.20%,853.8M,2.38,990.6M,35.89,1.18,7.69,1.3B,1.08B
ice,0.54,0.72%,5.66%,101.93,63.51,94.15,91.22,2.81M,2.05M,547.22M,540.3M,1.48%,94.64%,4.44M,1.48,0.82%,0.81%,6.02M,1.2,1.30%,1.12,1.22%,1.18,30.08%,"Dec 30, 2020","Sep 14, 2020",5:1,"Nov 03, 2016","Dec 30, 2019","Mar 30, 2020",38.23%,53.71%,1.58%,12.41%,5.49B,9.86,22.80%,5.2B,3.4B,2.1B,3.74,34.30%,583M,1.07,8.6B,50.38,0.99,30.91,2.52B,1.79B
cma,1.86,-49.89%,5.66%,74.05,24.28,38.72,44.82,2.48M,1.67M,139.04M,137.67M,0.99%,87.22%,5.54M,2.38,4.58%,3.99%,5.52M,2.72,8.14%,2.69,8.05%,2.47,50.75%,"Jun 30, 2020","Jun 11, 2020",3:2,"Apr 01, 1998","Dec 30, 2019","Mar 30, 2020",28.80%,38.59%,1.08%,10.72%,2.76B,18.92,-60.40%,3.27B,N/A,789M,5.37,N/A,5.47B,39.37,10.12B,N/A,N/A,53.24,1.75B,N/A
reg,0.96,-36.98%,5.66%,70.13,31.80,46.28,49.91,1.49M,917.75k,169.63M,167.23M,1.04%,105.10%,3.89M,2.35,3.15%,2.29%,3.96M,2.38,5.65%,2.35,5.58%,3.35,298.46%,"May 25, 2020","May 14, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",10.66%,35.23%,2.26%,2.00%,1.16B,6.92,-1.50%,858.53M,731.91M,123.65M,0.74,N/A,733.25M,4.33,4.65B,74.05,4.90,36.65,615.59M,511.31M
hes,2.27,-27.78%,5.66%,74.11,26.06,50.69,50.32,2.79M,2.57M,307.14M,277.83M,11.14%,92.37%,12.36M,4.74,6.07%,4.02%,15.54M,1,2.24%,1.00,2.24%,1.89,N/A,"Jun 29, 2020","Jun 11, 2020",3:1,"May 31, 2006","Dec 30, 2019","Mar 30, 2020",-47.18%,1.79%,0.32%,-28.63%,6.09B,20.11,-14.40%,4.58B,2.34B,-2.87B,-9.49,N/A,2.08B,6.82,8.93B,109.19,2.19,23.59,1.85B,-1.56B
gww,0.99,14.65%,5.66%,346.60,200.61,310.21,294.75,346.19k,324.58k,53.67M,44.77M,13.72%,75.10%,1.01M,2.87,2.64%,1.90%,1.01M,5.76,1.86%,5.76,1.86%,2.06,41.05%,"May 31, 2020","May 07, 2020",2:1,"Jun 14, 1998","Dec 30, 2019","Mar 30, 2020",6.58%,11.85%,13.12%,39.12%,11.69B,215.65,7.20%,4.4B,1.6B,769M,14.02,-31.60%,1.49B,27.91,3.34B,164.58,3.28,33.85,1.16B,749M
unh,0.72,9.50%,5.66%,315.84,187.72,297.16,282.13,4.07M,2.31M,948.38M,942.3M,0.71%,89.92%,6.13M,1.32,0.65%,0.65%,5.89M,5,1.72%,4.32,1.48%,1.44,30.23%,"Jun 29, 2020","Jun 18, 2020",2:1,"May 30, 2005","Dec 30, 2019","Mar 30, 2020",5.58%,8.06%,7.08%,23.96%,246.27B,259.57,6.80%,57.6B,21.93B,13.75B,14.29,-2.50%,24.44B,25.78,51.61B,83.77,0.71,60.17,18.17B,13.68B
rmd,0.51,55.22%,5.66%,197.38,108.85,173.99,162.88,681.12k,513.55k,144.67M,143.38M,0.79%,69.62%,1.39M,2.18,1.08%,0.96%,1.91M,1.56,0.81%,1.56,0.81%,1.56,43.75%,"Jun 17, 2020","May 12, 2020",2:1,"Aug 30, 2010","Jun 29, 2019","Mar 30, 2020",17.73%,26.20%,11.00%,23.97%,2.89B,20.08,16.20%,1.54B,916.42M,512.64M,3.52,54.80%,352.86M,2.44,1.51B,66.78,2.66,15.60,613.81M,476.61M
uri,2.27,9.72%,5.66%,170.04,58.85,148.33,131.74,1.46M,877.23k,72.05M,71.71M,0.54%,97.67%,7.56M,5.03,11.93%,10.49%,8M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",12.52%,23.91%,7.47%,33.44%,9.36B,123.14,0.40%,3.75B,2.64B,1.17B,15.37,-1.10%,513M,7.12,12.3B,338.49,1.11,50.45,3B,1.51B
otis,N/A,25.92%,5.66%,61.46,38.00,56.22,51.25,4.46M,3.16M,433.08M,433.07M,0.00%,3.55%,5.16M,1.25,1.33%,1.19%,4.47M,0.8,1.43%,N/A,N/A,N/A,0.00%,"Jun 09, 2020","May 20, 2020",N/A,N/A,"Dec 30, 2019","Mar 30, 2020",7.76%,14.25%,N/A,N/A,12.98B,29.98,-4.40%,3.83B,2.03B,1.01B,N/A,-39.60%,1.21B,2.79,6.7B,N/A,1.03,N/A,1.33B,N/A
etn,1.14,7.13%,5.66%,105.78,56.42,87.74,87.21,2.34M,1.61M,400M,398.68M,0.24%,84.77%,6.32M,2.63,1.58%,1.58%,5.24M,2.92,3.41%,2.86,3.34%,3.37,56.19%,"May 28, 2020","May 12, 2020",2:1,"Feb 28, 2011","Dec 30, 2019","Mar 30, 2020",10.19%,12.63%,5.27%,13.93%,20.87B,50.26,-9.70%,7.05B,3.5B,2.13B,5.09,-16.10%,419M,1.05,8.95B,62.65,1.75,35.61,3.22B,987.12M
jbht,1.00,37.87%,5.66%,127.76,75.29,119.04,107.07,828.59k,813.7k,105.46M,83.4M,20.67%,77.55%,3.75M,4.47,5.64%,3.56%,3.33M,1.08,0.86%,1.05,0.84%,0.96,22.53%,"May 21, 2020","May 06, 2020",2:1,"May 23, 2005","Dec 30, 2019","Mar 30, 2020",5.36%,8.08%,8.83%,22.36%,9.36B,87.74,9.10%,1.64B,1.27B,501.55M,4.66,-12.30%,48.45M,0.46,1.43B,62.77,1.54,21.64,1.1B,183.51M
lw,0.82,-5.06%,5.66%,96.32,39.06,64.72,71.20,1.58M,1.09M,146.04M,145.15M,0.82%,89.45%,7.14M,3.24,5.53%,4.89%,6.28M,0.92,1.49%,0.83,1.38%,N/A,25.46%,"Jun 04, 2020","May 06, 2020",N/A,N/A,"May 25, 2019","Feb 22, 2020",12.10%,17.15%,12.87%,446.22%,3.95B,27.00,1.10%,1B,853.6M,478.5M,3.26,-21.20%,30.1M,0.21,2.43B,898.00,1.85,1.85,672.2M,310.32M
pep,0.59,0.23%,5.66%,147.20,101.42,131.79,133.56,5.51M,4.19M,1.39B,1.38B,0.14%,73.53%,9M,1.27,0.65%,0.65%,11.69M,4.09,3.08%,3.82,2.88%,2.84,74.03%,"Jun 29, 2020","Jun 03, 2020",2:1,"May 28, 1996","Dec 27, 2019","Mar 20, 2020",10.62%,15.67%,8.32%,52.28%,68.16B,48.86,7.70%,37.18B,12.57B,7.24B,5.16,-5.30%,11.25B,8.11,41.24B,304.17,1.10,9.69,9.24B,4.67B
iqv,1.32,-9.92%,5.66%,169.14,81.79,143.15,139.80,1.23M,842.55k,190.96M,189.48M,0.79%,93.83%,2.6M,1.97,1.53%,1.36%,2.7M,N/A,N/A,N/A,N/A,N/A,0.00%,N/A,N/A,N/A,N/A,"Dec 30, 2019","Mar 30, 2020",1.93%,7.71%,2.33%,3.96%,11.16B,57.59,2.60%,3.79B,1.89B,215M,1.09,41.40%,990M,5.18,12.68B,218.60,1.10,29.02,1.47B,1.11B
